"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"407",407,"Naz Reid",70,11,"Minnesota Timberwolves","C",1999-08-26,2.06,112.9,898310,"USA",2019,3,0,"LSU"
"408",408,"Ignas Brazdeikis",70,17,"New York Knicks","F",1999-01-08,1.98,98,898310,"Canada",2019,2,47,"Michigan"
"409",409,"Deonte Burton",70,30,"Oklahoma City Thunder","G",1991-06-26,1.93,108.9,1416852,"USA",2014,3,0,"Iowa State"
"410",410,"Justin James",70,10,"Sacramento Kings","G",1997-01-24,2.01,86.2,898310,"USA",2019,2,40,"Wyoming"
"411",411,"Henry Ellenson",69,0,"No_Team","F-C",1997-01-13,2.08,109.8,79568,"USA",2016,1,18,"Marquette"
"412",412,"Devonte Graham",69,0,"Charlotte Hornets","G",1995-02-22,1.85,83.9,1416852,"USA",2018,2,34,"Kansas"
"413",413,"Amile Jefferson",69,0,"No_Team","F-C",1993-05-07,2.06,101.6,1529007,"USA",2017,3,0,"Duke"
"414",414,"Khyri Thomas",69,13,"Detroit Pistons","G",1996-05-08,1.91,95.3,1416852,"USA",2018,2,38,"Creighton"
"415",415,"Theo Pinson",69,0,"New York Knicks","G",1995-11-05,1.96,99.8,1445697,"USA",2018,3,0,"North Carolina"
"416",416,"Gary Clark",69,0,"Orlando Magic","F",1994-11-16,1.98,102.1,1427191,"USA",2018,3,0,"Cincinnati"
"417",417,"Terance Mann",69,14,"Los Angeles Clippers","G",1996-10-18,1.96,97.5,1e+06,"USA",2019,2,48,"Florida State"
"418",418,"Cam Reynolds",69,13,"Milwaukee Bucks","G",1995-02-07,2.01,102.1,79568,"USA",2018,3,0,"Tulane"
"419",419,"Tyrone Wallace",69,0,"No_Team","G-F",1994-06-10,1.96,90.7,502491,"USA",2016,2,60,"California"
"420",420,"Miye Oni",69,24,"Utah Jazz","F",1997-08-04,1.96,95.3,898310,"USA",2019,2,58,"Yale"
"421",421,"Malcolm Miller",69,13,"Toronto Raptors","F",1993-03-06,2.01,93,1588231,"USA",2015,3,0,"Holy Cross"
"422",422,"Isaac Bonga",68,17,"Washington Wizards","G",1999-11-08,2.03,90.7,1416852,"Germany",2018,2,39,"Studied Abroad"
"423",423,"Isaiah Hartenstein",68,0,"No_Team","F-C",1998-05-05,2.13,113.4,1416852,"Germany",2017,2,43,"Studied Abroad"
"424",424,"Jordan McRae",68,0,"Detroit Pistons","G",1991-03-28,1.96,81.2,1254933,"USA",2014,2,58,"Tennessee"
"425",425,"Brandon Goodwin",68,0,"Atlanta Hawks","G",1995-10-02,1.83,81.6,522738,"USA",2018,3,0,"Florida Gulf Coast"
"426",426,"Michael Frazier",68,21,"Houston Rockets","G",1994-03-08,1.91,90.7,79568,"USA",2015,2,60,"Florida"
"427",427,"Kostas Antetokounmpo",68,37,"Los Angeles Lakers","F",1997-11-20,2.08,90.7,79568,"Greece",2018,3,0,"Dayton"
"428",428,"Jalen Lecque",68,0,"Phoenix Suns","G",2000-06-13,1.91,86.2,898310,"USA",2019,3,0,"High School"
"429",429,"Duncan Robinson",67,55,"Miami Heat","F",1994-04-22,2.01,97.5,1416852,"USA",2018,3,0,"Michigan"
