"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"261",261,"Doug McDermott",74,20,"Indiana Pacers","F",1992-01-03,2.01,98.9,7333333,"USA",2014,1,11,"Creighton"
"262",262,"E'Twaun Moore",74,55,"New Orleans Pelicans","G",1989-02-25,1.91,86.6,8664928,"USA",2011,2,55,"Purdue"
"263",263,"Joakim Noah",74,0,"Los Angeles Clippers","C",1985-02-25,2.11,103,6813026,"USA",2007,1,9,"Florida"
"264",264,"Kyle O'Quinn",74,9,"Philadelphia 76ers","F-C",1990-03-26,2.06,108.9,2174318,"USA",2012,2,49,"Norfolk State"
"265",265,"Chandler Parsons",74,0,"No_Team","F",1988-10-25,2.06,90.7,25102512,"USA",2011,2,38,"Florida"
"266",266,"Norman Powell",74,24,"Toronto Raptors","G",1993-05-25,1.91,97.5,10116576,"USA",2015,2,46,"UCLA"
"267",267,"Ivan Rabb",74,0,"No_Team","F-C",1997-02-04,2.08,99.8,451326,"USA",2017,2,35,"California"
"268",268,"Glenn Robinson III",74,22,"Golden State Warriors","F",1994-01-08,1.98,95.7,1882867,"USA",2014,2,40,"Michigan"
"269",269,"Denzel Valentine",74,45,"Chicago Bulls","G",1993-11-16,1.93,95.3,3377568,"USA",2016,1,14,"Michigan State"
"270",270,"Robert Williams",74,44,"Boston Celtics","F-C",1997-10-17,2.03,107.5,1937520,"USA",2018,1,27,"Texas A&M"
"271",271,"Christian Wood",74,35,"Detroit Pistons","F",1995-09-27,2.08,98,1645357,"USA",2015,3,0,"UNLV"
"272",272,"Jaxson Hayes",74,10,"New Orleans Pelicans","F-C",2000-05-23,2.11,99.8,4862040,"USA",2019,1,8,"Texas"
"273",273,"Rui Hachimura",74,8,"Washington Wizards","F",1998-02-08,2.03,102.1,4469160,"Japan",2019,1,9,"Gonzaga"
"274",274,"OG Anunoby",73,3,"Toronto Raptors","F-G",1997-07-17,2.01,105.2,2281800,"United Kingdom",2017,1,23,"Indiana"
"275",275,"Dwayne Bacon",73,7,"Charlotte Hornets","G",1995-08-30,1.98,99.8,1618520,"USA",2017,2,40,"Florida State"
"276",276,"DeAndre Bembry",73,95,"Atlanta Hawks","F",1994-07-04,1.96,93.9,2603981,"USA",2016,1,21,"Saint Joseph's"
"277",277,"Jonah Bolden",73,0,"Phoenix Suns","F",1996-01-02,2.03,97.5,1788296,"Australia",2017,2,36,"UCLA"
"278",278,"Sterling Brown",73,23,"Milwaukee Bucks","G",1995-02-10,1.96,104.3,1618520,"USA",2017,2,46,"SMU"
